stockCode,date,open,high,low,close,volume
066570,2020-03-03,61500,61700,60000,60200,587763
066570,2020-03-04,60100,61200,60100,60600,520867
066570,2020-03-05,61300,61900,60800,61500,573595
066570,2020-03-06,60900,61100,60200,60300,542438
066570,2020-03-09,59000,59300,57500,57800,1001568
066570,2020-03-10,58800,61400,58400,60000,1500440
066570,2020-03-11,60000,61000,58100,59000,938290
066570,2020-03-12,58900,58900,55000,55500,1649095
066570,2020-03-13,51100,54500,50600,52500,1968749
066570,2020-03-16,53100,54200,50400,50400,948845
066570,2020-03-17,48000,52000,48000,49450,1004008
066570,2020-03-18,50200,50800,47700,48000,886739
066570,2020-03-19,48900,49600,43650,43650,1601945
066570,2020-03-20,44600,45700,43550,45100,1539670
066570,2020-03-23,42350,42850,41600,41850,1186795
066570,2020-03-24,42700,44450,42200,44400,1316623
066570,2020-03-25,48400,48850,46800,48500,1506779
066570,2020-03-26,49450,51300,48600,49000,1377158
066570,2020-03-27,51300,51500,48000,49400,1110394
066570,2020-03-30,48400,49200,47100,48500,937027
066570,2020-03-31,49100,49500,47600,48200,1106424
139480,2020-01-02,128000,128000,125500,125500,103554
139480,2020-01-03,126000,126500,122500,122500,169434
139480,2020-01-06,121500,122500,118500,120000,176765
139480,2020-01-07,120500,121500,119500,121000,138060
139480,2020-01-08,120500,120500,116500,118000,280257
139480,2020-01-09,119000,120500,118500,120000,212498
139480,2020-01-10,119500,121000,118500,119500,269884
139480,2020-01-13,119500,121000,118500,120000,211358
139480,2020-01-14,121000,125000,120500,124000,195645
139480,2020-01-15,123500,125500,122000,123500,212637
139480,2020-01-16,123000,124000,121500,122000,242299
139480,2020-01-17,122000,123000,120500,121000,210911
139480,2020-01-20,121000,121500,119500,120500,207641
139480,2020-01-21,120500,121000,118500,119000,221720
139480,2020-01-22,119500,119500,117000,118500,183884
139480,2020-01-23,118000,118000,116500,118000,162154
139480,2020-01-28,114500,116500,111500,113500,311474
139480,2020-01-29,113500,115000,112000,113500,152516
139480,2020-01-30,113000,114500,111000,113000,171327
139480,2020-01-31,112000,113500,110500,111000,130768
